2017-07-06 22:20:55,560 [DEBUG] org.apache.commons.httpclient.HttpClient  - SunSASL 1.5: Sun SASL provider(implements client mechanisms for: DIGEST-MD5, GSSAPI, EXTERNAL, PLAIN, CRAM-MD5; server mechanisms for: DIGEST-MD5, GSSAPI, CRAM-MD5)
2017-07-06 22:20:55,560 [DEBUG] org.apache.commons.httpclient.HttpClient  - XMLDSig 1.0: XMLDSig (DOM XMLSignatureFactory; DOM KeyInfoFactory)
2017-07-06 22:20:55,560 [DEBUG] org.apache.commons.httpclient.HttpClient  - SunPCSC 1.6: Sun PC/SC provider
2017-07-06 22:20:55,561 [DEBUG] org.apache.commons.httpclient.HttpClient  - SunMSCAPI 1.6: Sun's Microsoft Crypto API provider
2017-07-06 22:20:55,595 [DEBUG] org.apache.commons.httpclient.params.DefaultHttpParams  - Set parameter http.useragent = Jakarta Commons-HttpClient/3.1
2017-07-06 22:20:55,598 [DEBUG] org.apache.commons.httpclient.params.DefaultHttpParams  - Set parameter http.protocol.version = HTTP/1.1
2017-07-06 22:20:55,618 [DEBUG] org.apache.commons.httpclient.params.DefaultHttpParams  - Set parameter http.connection-manager.class = class org.apache.commons.httpclient.SimpleHttpConnectionManager
2017-07-06 22:20:55,618 [DEBUG] org.apache.commons.httpclient.params.DefaultHttpParams  - Set parameter http.protocol.cookie-policy = default
2017-07-06 22:20:55,619 [DEBUG] org.apache.commons.httpclient.params.DefaultHttpParams  - Set parameter http.protocol.element-charset = US-ASCII
2017-07-06 22:20:55,619 [DEBUG] org.apache.commons.httpclient.params.DefaultHttpParams  - Set parameter http.protocol.content-charset = ISO-8859-1
2017-07-06 22:20:55,632 [DEBUG] org.apache.commons.httpclient.params.DefaultHttpParams  - Set parameter http.method.retry-handler = org.apache.commons.httpclient.DefaultHttpMethodRetryHandler@1abab88
2017-07-06 22:20:55,633 [DEBUG] org.apache.commons.httpclient.params.DefaultHttpParams  - Set parameter http.dateparser.patterns = [EEE, dd MMM yyyy HH:mm:ss zzz, EEEE, dd-MMM-yy HH:mm:ss zzz, EEE MMM d HH:mm:ss yyyy, EEE, dd-MMM-yyyy HH:mm:ss z, EEE, dd-MMM-yyyy HH-mm-ss z, EEE, dd MMM yy HH:mm:ss z, EEE dd-MMM-yyyy HH:mm:ss z, EEE dd MMM yyyy HH:mm:ss z, EEE dd-MMM-yyyy HH-mm-ss z, EEE dd-MMM-yy HH:mm:ss z, EEE dd MMM yy HH:mm:ss z, EEE,dd-MMM-yy HH:mm:ss z, EEE,dd-MMM-yyyy HH:mm:ss z, EEE, dd-MM-yyyy HH:mm:ss z]
2017-07-06 22:20:55,771 [DEBUG] org.apache.commons.httpclient.methods.PostMethod  - enter PostMethod.setRequestBody(NameValuePair[])
2017-07-06 22:20:55,771 [DEBUG] org.apache.commons.httpclient.methods.PostMethod  - enter PostMethod.clearRequestBody()
2017-07-06 22:20:55,771 [DEBUG] org.apache.commons.httpclient.methods.EntityEnclosingMethod  - enter EntityEnclosingMethod.clearRequestBody()
2017-07-06 22:20:55,771 [DEBUG] org.apache.commons.httpclient.methods.PostMethod  - enter PostMethod.addParameters(NameValuePair[])
2017-07-06 22:20:55,771 [DEBUG] org.apache.commons.httpclient.methods.EntityEnclosingMethod  - enter EntityEnclosingMethod.clearRequestBody()
2017-07-06 22:20:55,771 [DEBUG] org.apache.commons.httpclient.HttpClient  - enter HttpClient.executeMethod(HttpMethod)
2017-07-06 22:20:55,771 [DEBUG] org.apache.commons.httpclient.HttpClient  - enter HttpClient.executeMethod(HostConfiguration,HttpMethod,HttpState)
2017-07-06 22:20:55,789 [DEBUG] org.apache.commons.httpclient.HttpMethodDirector  - Attempt number 1 to process request
2017-07-06 22:20:55,789 [DEBUG] org.apache.commons.httpclient.HttpConnection  - enter HttpConnection.open()
2017-07-06 22:20:55,789 [DEBUG] org.apache.commons.httpclient.HttpConnection  - Open connection to ip.taobao.com:80
2017-07-06 22:20:55,964 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.execute(HttpState, HttpConnection)
2017-07-06 22:20:55,965 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.writeRequest(HttpState, HttpConnection)
2017-07-06 22:20:55,965 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.writeRequestLine(HttpState, HttpConnection)
2017-07-06 22:20:55,965 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.generateRequestLine(HttpConnection, String, String, String, String)
2017-07-06 22:20:55,967 [DEBUG] httpclient.wire.header  - >> "POST /service/getIpInfo.php HTTP/1.1[\r][\n]"
2017-07-06 22:20:55,968 [DEBUG] org.apache.commons.httpclient.HttpConnection  - enter HttpConnection.print(String)
2017-07-06 22:20:55,968 [DEBUG] org.apache.commons.httpclient.HttpConnection  - enter HttpConnection.write(byte[])
2017-07-06 22:20:55,972 [DEBUG] org.apache.commons.httpclient.HttpConnection  - enter HttpConnection.write(byte[], int, int)
2017-07-06 22:20:55,972 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.writeRequestHeaders(HttpState,HttpConnection)
2017-07-06 22:20:55,972 [DEBUG] org.apache.commons.httpclient.methods.EntityEnclosingMethod  - enter EntityEnclosingMethod.addRequestHeaders(HttpState, HttpConnection)
2017-07-06 22:20:55,972 [DEBUG] org.apache.commons.httpclient.methods.ExpectContinueMethod  - enter ExpectContinueMethod.addRequestHeaders(HttpState, HttpConnection)
2017-07-06 22:20:55,972 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.addRequestHeaders(HttpState, HttpConnection)
2017-07-06 22:20:55,972 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.addUserAgentRequestHeaders(HttpState, HttpConnection)
2017-07-06 22:20:55,972 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.addHostRequestHeader(HttpState, HttpConnection)
2017-07-06 22:20:55,972 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - Adding Host request header
2017-07-06 22:20:55,973 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.addCookieRequestHeader(HttpState, HttpConnection)
2017-07-06 22:20:56,034 [DEBUG] org.apache.commons.httpclient.HttpState  - enter HttpState.getCookies()
2017-07-06 22:20:56,034 [DEBUG] org.apache.commons.httpclient.cookie.CookieSpec  - enter CookieSpecBase.match(String, int, String, boolean, Cookie[])
2017-07-06 22:20:56,034 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter HttpMethodBase.addProxyConnectionHeader(HttpState, HttpConnection)
2017-07-06 22:20:56,034 [DEBUG] org.apache.commons.httpclient.methods.EntityEnclosingMethod  - enter EntityEnclosingMethod.addContentLengthRequestHeader(HttpState, HttpConnection)
2017-07-06 22:20:56,034 [DEBUG] org.apache.commons.httpclient.methods.EntityEnclosingMethod  - enter EntityEnclosingMethod.getRequestContentLength()
2017-07-06 22:20:56,034 [DEBUG] org.apache.commons.httpclient.methods.PostMethod  - enter PostMethod.hasRequestContent()
2017-07-06 22:20:56,034 [DEBUG] org.apache.commons.httpclient.methods.PostMethod  - enter PostMethod.getParameters()
2017-07-06 22:20:56,035 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - enter getContentCharSet( Header contentheader )
2017-07-06 22:20:56,036 [DEBUG] org.apache.commons.httpclient.HeaderElement  - enter HeaderElement.parseElements(String)
2017-07-06 22:20:56,036 [DEBUG] org.apache.commons.httpclient.HeaderElement  - enter HeaderElement.parseElements(char[])
2017-07-06 22:20:56,037 [DEBUG] org.apache.commons.httpclient.HeaderElement  - enter HeaderElement.getParameterByName(String)
2017-07-06 22:20:56,043 [DEBUG] org.apache.commons.httpclient.HttpMethodBase  - HttpMethodBase.addRequestHeader(Header)
2017-07-06 22:20:56,044 [DEBUG] httpclient.wire.header  - >> "Content-Type: application/x-www-form-urlencoded;charset=utf-8[\r][\n]"
2017-07-06 22:20:56,044 [DEBUG] org.apache.commons.httpclient.HttpConnection  - enter HttpConnection.print(String)
2017-07-06 22:20:56,044 [DEBUG] org.apache.commons.httpclient.HttpConnection  - enter HttpConnection.write(byte[])
2017-07-06 22:20:56,044 [DEBUG] org.apache.commons.httpclient.HttpConnection  - enter HttpConnection.write(byte[], int, int)
2017-07-06 22:20:56,044 [DEBUG] httpclient.wire.header  - >> "User-Agent: Jakarta Commons-HttpClient/3.1[\r][\n]"
